Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$127.14,-1.77,-1.373%,2204269407600.00,United States,1980,111228604,Technology,Computer Manufacturing
ABST,Absolute Software Corporation Common Stock,$12.70,-0.68,-5.082%,619477908.00,Canada,2020,154103,Technology,Computer Software: Prepackaged Software
ACIA,Acacia Communications Inc. Common Stock,$114.37,0.73,0.642%,4820008136.00,United States,2016,3859276,Technology,Semiconductors
ACIW,ACI Worldwide Inc. Common Stock,$38.45,0.23,0.602%,4489480867.00,United States,,462195,Technology,Computer Software: Prepackaged Software
ACLS,Axcelis Technologies Inc. Common Stock,$34.92,-2.26,-6.079%,1169680530.00,United States,2000,705205,Technology,Industrial Machinery/Components
ADBE,Adobe Inc. Common Stock,$458.08,-5.19,-1.12%,219749671733.00,United States,1986,3199183,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$157.75,-1.71,-1.072%,58286242817.00,United States,,2338013,Technology,Semiconductors
ADP,Automatic Data Processing Inc. Common Stock,$161.12,-0.79,-0.488%,69090511519.00,United States,,2885023,Technology,EDP Services
ADSK,Autodesk Inc. Common Stock,$308.51,-2.60,-0.836%,67838079720.00,United States,,1248281,Technology,Computer Software: Prepackaged Software
AGYS,Agilysys Inc. Common Stock,$42.50,-0.05,-0.118%,1002626553.00,United States,,105199,Technology,EDP Services
ALGM,Allegro MicroSystems Inc. Common Stock,$32.72,-0.65,-1.948%,6198207384.00,United States,2020,822630,Technology,Semiconductors
ALLT,Allot Ltd. Ordinary Shares,$13.55,-1.25,-8.446%,477129497.00,Israel,2006,1727334,Technology,Computer Communications Equipment
ALRM,Alarm.com Holdings Inc. Common Stock,$97.61,-2.18,-2.185%,4793829250.00,United States,2015,941424,Technology,Computer Software: Prepackaged Software
ALTR,Altair Engineering Inc. Class A Common Stock,$59.90,-1.83,-2.965%,4412073887.00,United States,2017,352971,Technology,Computer Software: Prepackaged Software
AMAT,Applied Materials Inc. Common Stock,$103.14,-2.66,-2.514%,94305459653.00,United States,1972,8977911,Technology,Semiconductors
AMBA,Ambarella Inc. Ordinary Shares,$104.35,-3.84,-3.549%,3670202061.00,United States,2012,1348544,Technology,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,$88.21,-2.58,-2.842%,106211392592.00,United States,,49241580,Technology,Semiconductors
AMKR,Amkor Technology Inc. Common Stock,$18.04,-0.70,-3.735%,4373728528.00,United States,1998,1126483,Technology,Semiconductors
AMSWA,American Software Inc. Class A Common Stock,$19.56,0.01,0.051%,637386698.00,United States,,146475,Technology,Computer Software: Prepackaged Software
ANSS,ANSYS Inc. Common Stock,$364.28,-4.77,-1.293%,31285869784.00,United States,1996,498106,Technology,Computer Software: Prepackaged Software
AOSL,Alpha and Omega Semiconductor Limited Common Shares,$28.37,-1.23,-4.155%,723077964.00,Bermuda,2010,271137,Technology,Semiconductors
API,Agora Inc. American Depositary Shares,$37.14,-1.94,-4.964%,14740789083.00,China,2020,1093576,Technology,Computer Software: Prepackaged Software
ASML,ASML Holding N.V. New York Registry Shares,$527.50,-17.15,-3.149%,221284924920.00,Netherlands,1995,869187,Technology,Industrial Machinery/Components
